Title,Category,Auther,Date,Content,URL
साहित्यकार आत्माराम ओझाको निधन,समाचार,हिमालखबर,"शुक्रबार, १५ पुस, २०७३","साहित्यकार एवं इतिहासरकार आत्माराम ओझाको हृदयघातले निधन भएको छ ।. भीमदत्त नगरपालिका–१ भाँसी, कञ्चनपुरका ८८ वर्षीय ओझालाई १५ पुस बिहान ३ः४५ बजे हृदयघात भएपछि महेन्द्रनगरस्थित महाकाली अञ्चल अस्पताल पु¥याइएको थियो । अस्पतालले तत्कालै मृत घोषणा गरेको उनका भतिजा विनोद ओझाले बताए ।. ६७ वर्षदेखि लेखनमा सक्रिय ओझाले साहित्य, इतिहास, संस्कृतिसम्बन्धी दुई दर्जन पुस्तक लेखेका छन् ।. २००६ सालमा ‘देवस्तुति श्लोकबद्ध भाषा’ पुस्तक सार्वजनिक गरेर लेखन यात्रा सुरु गरेका ओझाका स्वयम्वर, शरणार्थी राजकुमार, संक्षिप्त सरल नेपाली रामायण, कृष्णायान, तीला, नेपाल प्रजातन्त्र सुकृति विकृति शतक, सुपको इतिहास परिचय, विविधा, रुवस, त्रिविधा, सुविधा, राजा नागमल्ल, प्रतिचर, मधुरिमा, संजीवनी लगायतका पुस्तक चर्चित छन् । उनका स्थानीय तथा राष्ट्रिय पत्रपत्रिकामा सयौं फुटकर रचना प्रकाशन भएका छन् ।. उनको आजै दिउसो महाकाली नदीमा दाहसंस्कार गरिने जनाएको छ ।",https://www.himalkhabar.com/news/1599
व्यवस्थापिका–संसद्: विपक्षी दलको अवरोध कायमै,समाचार,हिमालखबर,"बिहीबार, १४ पुस, २०७३","प्रमुख प्रतिपक्षी नेकपा एमालेलगायतका दलहरुको अवरोधका कारण व्यवस्थापिका–संसद्को आजको बैठक पनि अवरुद्ध भयो ।. सदनको कारबाही शुरु हुने बित्तिकै एमाले सांसद वैजनाथ चौधरीले प्रदेश नं ५ को सीमाङ्कनका लागि भन्दै दर्ता गराइएको संविधान संशोधन प्रस्ताव जनताको भावनाअनुसार नभएको बताए ।  उनले सरकारले दर्ता गराएको संविधान संशोधन प्रस्तावको विपक्षमा सत्तारुढ दलका सांसदसमेत रहेको भन्दै सो प्रस्ताव अगाडि नबढाउन आग्रह गरे ।. ५ नं प्रदेशलाई टुक्र्याउने प्रस्ताव अर्कै उद्देश्यका लागि ल्याइएकाले त्यो प्रस्ताव फिर्ता नहुँदासम्म सदन चल्न नसक्ने उनको भनाई थियो ।  उनको सो धारणालगत्तै नेकपा एमाले, नेकपा माले, राष्ट्रिय जनमोर्चालगायतका दल सम्बद्ध सांसदले उभिएर विरोध जनाएका थिए ।  सभामुख ओनसरी घर्तीले पटक पटक आशन ग्रहण गर्न आग्रह गर्दासमेत विपक्षी दलका सांसदले नमानेपछि व्यवस्थापिका–संसद्को अर्को बैठक १८ पुस, सोमबार दिउँसो १:०० बजे बस्नेगरी स्थगित भएको छ ।. सदनको आजको बैठकको कार्यसूचीमा स्थानीय तह निर्वाचन विधेयक २०७३, स्थानीय तह निर्वाचन (कसुर तथा सजाय) विधेयक, २०७३ नेपालको संविधान (दोस्रो संशोधन), २०७३ र अख्तियार दुरुपयोग अनुसन्धान आयोगका निलम्बित प्रमुख निर्वाचन आयुक्त लोकमानसिंह कार्कीमाथिको महाअभियोगको प्रस्तावमाथि छलफल गराउने कार्यसूची रहेको थियो ।",https://www.himalkhabar.com/news/1593
संशोधन विधेयकको समर्थन गर्न सकिँदैनः कमल थापा,समाचार,हिमालखबर,"शनिबार, १६ पुस, २०७३","राष्ट्रिय प्रजातन्त्र पार्टीका अध्यक्ष कमल थापाले व्यवस्थापिका–संसद्‌मा दर्ता भएको संविधान संशोधन विधेयकलाई यथास्थितिमा समर्थन गर्न नसकिने बताएका छन् ।. आज कैलालीको धनगढीमा आयोजित पत्रकार सम्मेलनमा थापाले विधेयकका केही दफा राष्ट्रहित विपरीत रहेको, प्रमुख प्रतिपक्षी दलले संसद् अवरुद्ध गरेको तथा मधेशी दल असन्तुष्ट रहेको अवस्थामा विधेयकलाई जस्तकोतस्तै पारित गराउन नसकिने बताए।  सरकारले विधेयकलाई थाती राखेर सहमतिका लागि अग्रसर हुनुपर्नेमा थापाले जोड दिए । संविधान संशोधनका लागि दलहरुबीच भइरहेका पछिल्ला वार्ताले समस्या समाधान गर्नेभन्दा पनि देश मुठभेडतर्फ जाने सम्भावना देखिएको उनको भनाइ थियो ।  भोलि आइतबार महेन्द्रनगरमा हुने राप्रपाको क्षेत्रीय भेलालाई सम्बोधन गर्न अध्यक्ष थापा, राष्ट्रिय अध्यक्ष पशुपतिशम्शेर राणा, आपूर्ति मन्त्री एवम् राप्रपाका नेता दीपक बोहरालगायतका नेता आज कैलाली आइपुगेका हुन् । रासस",https://www.himalkhabar.com/news/1625
संविधान संशोधन र निर्वाचन एउटै प्याकेजमाः शशांक कोइराला,समाचार,हिमालखबर,"शुक्रबार, १५ पुस, २०७३","नेपाली कांग्रेसका महामन्त्री डा. शशांक कोइरालाले संविधान संशोधन र निर्वाचन बारे दलहरुबीच प्याकेजमा सहमति हुनुपर्ने बताएका छन् ।. संशोधन र निर्वाचन हुँदा संविधान कार्यान्वयन भई वर्तमान समस्याबाट मुलुकले निकास पाउने भन्दै कोइरालाले संशोधनमा प्रतिपक्षी एमालेलाई समेत सहज हुने गरी परिमार्जन गरी संशोधन गरिनुपर्ने धारणा व्यक्त गरे ।. नवलपरासी क्षेत्र नं. १ सांसद निर्वाचित कोइरालाले गैडाकोटस्थित सूर्यभक्त–पतनादेवी कलेजको ११ औं स्थापना दिवस समारोहलाई बोल्दै उक्त विचार व्यक्त गरेका हुन् ।. “सरकारले दर्ता गराएको संशोधन विधेयकमा प्रतिपक्षलाई समेत विश्वासमा लिने गरी परिमार्जन गरेर निर्वाचन घोषण गर्दा समस्याको समाधान हुन्छ, यस्तो विषय धेरै अल्झाइरहनु हुँदैन,” उनले भने ।. एमालेलाई समेत विश्वासमा लिएर अघि बढन् सरकार तयार रहनु पर्ने भन्दै कोइरालाले संबिधान जारी गर्दा एक ठाउँमा उभिएका दल फेरि एकै ठाउँमा उभिनु जरुरी भएको बताएका थिए । विद्रोही गिरी, नवलपरासी",https://www.himalkhabar.com/news/1604
संशोधन प्रस्ताव परित नभई गरिने निर्वाचन मान्य हुँदैन: मोर्चा,समाचार,हिमालखबर,"शुक्रबार, १५ पुस, २०७३","संयुक्त लोकतान्त्रिक मधेसी मोर्चाले व्यवस्थापिका–संसद्मा दर्ता भएको संविधान सशोधन प्रस्ताव परित नभई घोषणा गरिने कुनै पनि निर्वाचन आफूलाई मान्य नहुने अडान राखेको छ ।. मोर्चाको हिजो र आज राजधानीमा भएको बैठकको निर्णय सार्वजनिक गर्न आज यहाँ आयोजित पत्रकार सम्मेलनमा तराई –मधेस लोकतान्त्रिक पार्टीका अध्यक्ष महन्थ ठाकुरले संविधान संशोधन नगरी घोषणा हुने निर्वाचनले समस्या समाधान गर्नुको साटो द्वन्द्व मात्र बढाउने बताउनुभयो ।. उहाँले भन्नुभयो– “संविधान सशोधन प्रस्ताव सहमतिको आधारमा परिमार्जन गरी पारित नगरिएसमम कनै पनि तहको निर्वाचन मोर्चालाई मान्य हुने छैन ।”. सो अवसरमा वितरित प्रेस विज्ञप्तिमा संविधान जारी गर्दा नै असन्तुष्टिलाई संविधान संशोधन गरी सम्बोधन गर्ने बाचा गर्ने नेकपा –एमालेले संशोधनलाई रोक्न सदनमा गरिरहेको अवरोध अलोकतान्त्रिक र संसदीय अध्यायको विपरित रहेको मोर्चाले ठहर गरेको उल्लेख गरिएको छ ।. मोर्चाले संविधान सशोधन प्रस्तावलाई परिमार्जन गरी पारित गर्नका लागि जनदबाब सिर्जना गर्न आउँदो सोमबार जिल्ला सदरमुकाममा खबरदारी विरोध प्रदर्शन गर्ने जनाएको छ ।. सङ्घीय राज्यको पुनः संरचनाको मान्य सिद्धान्त अनुरुप सङ्घीय राज्यमा स्थानीय तह प्रदेश अन्तर्गत सम्बन्धित हुनपर्ने तथ्यप्रति सबैको ध्यानाकर्षण गराउँदै मोर्चाले समान जनसङ्ख्याको आधारलाई बेवास्ता गर्दै जनसहभागिता बिना तथा संविधान विपरित तयार गरिएको अपूरो प्रतिवेदनलाई स्वीकार गर्न नसकिने जनाएको छ ।. मोर्चामा सङ्घीय समाजवादी फोरम, तमलोपा, मधेसी जनअधिकार फोरम गणतान्त्रिक, सद्भावना पार्टी, सङ्घीय सद्भावना पार्टी, तराई– मधेस सद्भावना पार्टीलगायतका दल आवद्ध छन् । रासस.",https://www.himalkhabar.com/news/1609
भारतबाट थप ४० मेगावाट विद्युत् ल्याइदै,समाचार,हिमालखबर,"शुक्रबार, १५ पुस, २०७३",आगामी आइतबारदेखि भारतबाट थप ४० मेगावाट विद्युत् आउने भएको छ ।. नेपालले भारतबाट हाल आयात भइरहेको ८० मेगावाटका अतिरिक्त ४० मेगावाट समेत गरी १२० मेगावाट विद्युत् ढल्केबर–मुजफ्फरपुर ४०० केभी प्रसारण लाइनबाट आयात गर्ने भएको हो ।. आज साँझ ऊर्जामन्त्री जनार्दन शर्मा तथा भारतीय ऊर्जा राज्यमन्त्री पियूष गोयलबीच भएको टेलिफोन वार्तामार्फत विद्युत् आयात गर्ने कुरा तय भएको ऊर्जा मन्त्रालयका प्रवक्ता दिनेश घिमिरेले जानकारी दिए ।. यस्तै आगामी माघ १७ गतेदेखि सोही प्रसारण लाइनबाट थप ४० मेगावाट विद्युत् समेत आयात गरिनेछ । टेलिफोन वार्तामा टनकपुर विन्दुबाट समेत थप १५ मेगावाट आयात गरिने र प्रसारण लाइन मर्मतसम्भारका लागि इआरएस टावर भारतबाट खरिद गरिने सहमति भएको प्रवक्ता घिमिरेले जानकारी दिए ।. सहमतिअनुरुपको विद्युत् आयातपछि नेपालले भारतबाट आयात गर्ने विद्युतको परिमाण करिब तीन सय ८० मेगावाट पुग्नेछ । रासस,https://www.himalkhabar.com/news/1616
संसद बैठक अवरुद्ध,समाचार,हिमालखबर,"बुधबार, १३ पुस, २०७३","नेकपा एमालेलगायतका प्रतिपक्ष दलको अवरोधका कारण व्यवस्थापिका–संसद्को आजको बैठक पनि अवरुद्ध भयो ।. सरकारले गत १४ मंसीरमा संविधान संशोधनका लागि व्यवस्थापिका–संसद् सचिवालयमा विधेयक दर्ता गराएसँगै प्रमुख प्रतिपक्ष एमालेलगायतका दलले संसद्को बैठक निरन्तररुपमा अवरोध गर्दै आएका छन् ।. सभामुख ओनसरी घर्तीले अपराह्न ३ बजेका लागि निर्धारित आजको बैठक प्रारम्भ भएको घोषणा गर्नासाथ प्रमुख प्रतिपक्षसहितका दलका सांसद आआफ्नो ठाउँबाट उठेर विरोध जनाएका थिए ।. त्यसको लगत्तै सभामुख ओनसरी घर्तीले नेपाल परिवार दलका सांसद एकनाथ ढकाललाई बोल्न समय प्रदान गरिन् ।. बैठकमा सांसद ढकालले संशोधनको प्रस्ताव राष्ट्रियता र अखण्डताको पक्षमा नरहेको हुँदा यसलाई फिर्ता लिन सरकारसंग आग्रह गर्दै विधेयक फिर्ता लिएर निर्वाचनको वातावरण नबनाएसम्म अवरोध जारी नै राख्ने बताए ।. बैठकमा सभामुख घर्तीले व्यवस्थापिका–संसद् सबै जनताको भावना राख्ने प्रमुख थलो भएको हुँदा सदन सुचारु गरी जनताको पक्षमा निर्णय गर्ने कार्यमा सहयोग गर्न अनुरोध गरेकी थिइन् ।. संशोधन प्रस्तावमा प्रदेशको सीमाङ्कन, भाषा, नागरिकता र राष्ट्रियसभामा समानुपातिक प्रतिनिधित्वजस्ता विषय परेका छन् । प्रमुख प्रतिपक्षले संशोधन प्रस्ताव संविधानको भावना र नेपाली जनताको चाहना विपरीत भएको हुँदा अघि बढाउन नमिल्ने तर्क गरिरहेको छ ।. आजको कार्यसूचीसदनको आजको कार्यसूचीमा कानुन, न्याय तथा संसदीय मामिलामन्त्री अजय शङ्कर नायकले नेपालको संविधानको दोस्रो संशोधन २०७३ प्रस्तुत गर्ने विषय परेको थियो ।. अख्तियार अनुसन्धान आयोगका प्रमुख आयुक्त लोकमानसिंह कार्कीउपर महेन्द्रबहादुर शाहीसहित १५७ जनाले दर्ता गरेको महाभियोगको प्रस्ताव माथिको छलफल जारी रहने विषय पनि आजको कार्यसूचीमा समावेश थियो ।. त्यस्तै, उपप्रधान तथा गृहमन्त्री विमलेन्द्र निधिले स्थानीय तह निर्वाचन विधेयक २०७३ र निर्वाचन कसुर तथा सजय विधेयक २०७३ सदन समक्ष प्रस्तुत गर्ने कार्यसूची थियो ।. व्यवस्थापिका–संसद्को अर्को बैठक १४ पुस दिउँसो १ बजे बस्ने छ ।",https://www.himalkhabar.com/news/1579
पाँच वर्षभित्र सबै स्वास्थ्य चौकीमा एमबीबीएस डाक्टर: स्वास्थ्यमन्त्री थापा,समाचार,हिमालखबर,"शुक्रबार, १५ पुस, २०७३",स्वास्थ्य मन्त्री गगन थापाले आगामी पाँच वर्षभित्रमा देशभरका सबै स्वास्थ्य चौकीमा एमबिबिएस डाक्टरको नेतृत्व हुने बताएका छन् ।,https://www.himalkhabar.com/news/1610
स्थानीय तहको निर्वाचन वैशाख अन्तिममाः सिटौला,समाचार,हिमालखबर,"शनिबार, १६ पुस, २०७३","नेपाली काँग्रेसका नेता कृष्णप्रसाद सिटौलाले आउँदो वैशाख महिनाको अन्तिमतिर स्थानीय तहको निर्वाचन हुने बताएका छन् । एकचालिसौँ राष्ट्रिय एकता मेलमिलाप दिवसको अवसरमा काँग्रेस लेखनाथ नगर समितिद्वारा लेखनाथको खुदीमा १६ पुसमा आयोजित प्रवचन कार्यक्रमलाई सम्बोधन गर्दै यस्तो धारणा राखेका हुन ।. सिटौलाले सके नयाँ संरचनाअनुसार नभए पुरानै संरचनामा पनि स्थानीय तहको निर्वाचन हुने भएकाले पार्टी सङ्गठन विस्तार गर्नुपर्नेमा जोड दिए । उनले ७ माघ २०७४ भित्र तीनै तहको निर्वाचन हुन सकेन भने संविधान कार्यान्वयन नहुने र देशको अवस्था बिग्रिएर जाने बताए ।. विश्वका धेरै देशमा संविधान जारी भएपछि पनि धेरैपटक संशोधन भएको उदाहरण पेश गर्दै सिटौलाले नेपालको संविधान पनि निरन्तर संशोधन हुंँदै जान्छ यसमा कुनै द्विविधा नराख्न आग्रह गरे ।. कार्यक्रममा सिँचाइ मन्त्री दीपक गिरीले पार्टी नेतृत्वले गुटउपगुटको अन्त्य गरी एकताको सन्देश लिएर जनतामाझ जानुपर्नेमा जोड दिए ।. अर्का नेता तारानाथ रानाभाटले देश अभैm पनि जटिल मोडमा रहेकाले स्थायी शान्ति र समृद्धिका लागि अघि बढ्न सबैसँग आग्रह गरे ।. सांसदहरू यज्ञबहादुर थापा, शारदा पौडेल, बृन्दा रानाले राष्ट्रियता कमजोर भए देश पनि कमजोर हुने भएकाले यसप्रति सजग रहनुपर्ने बताए ।रासस",https://www.himalkhabar.com/news/1626
कपिलवस्तुः दुई प्रहरी हवल्दारमाथि गोली प्रहार,समाचार,हिमालखबर,"बिहीबार, १४ पुस, २०७३","कपिलवस्तुको कृष्णनगर नगरपालिकाको झण्डिनगरमा नेपाल प्रहरीका दुई हवल्दारमाथि गोली प्रहार भएको छ ।. इलाका प्रहरी कार्यालय कृष्णनगरबाट करिब एककिलोमिटरको दूरीमा रहेका हवल्दारद्वय कर्णबहादुर पुन र मोहन श्रेष्ठमाथि गोली प्रहार भएको हो ।. पुनको दाहिने पाखुरा र श्रेष्ठको हातको औंलामा गोली लागेको छ । उनीहरु दुबैको स्थानीय अस्पतालमा उपचार भइरहेको छ ।. स्थानीयका अनुसार तीन राउण्ड फायर भएको आवाज सुनिएको थियो ।कसले किन गोली प्रहार गर्‍यो भन्ने विवरण अझै खुल्न सकेकोे छैन ।. गोली लागेका हवल्दारद्वय खतरामुक्त रहेको अञ्चल प्रहरी कार्यालय लुम्बिनीले जनाएको छ ।. झण्डिनगर नेपाल–भारत सीमा नजिक पर्ने कपिलवस्तुको कृष्णनगर नगरपालिका अन्तर्गतको नाका हो ।. दीपक ज्ञवाली, बुटवल",https://www.himalkhabar.com/news/1592
