Title,Category,Auther,Date,Location,Content,URL
परीक्षा पुस्तिका साट्ने दुई परीक्षा प्रमुख पक्राउ,स्थानीय,प्रतीक दैनिक,"साउन ३२, २०८०",वीरगंज,"वप्रका, बिर्ताका प्रहरी निरीक्ष्Fक विदुर शिवाकोटीले त्रिजुद्ध माविमा सञ्चालन भइरहेको ठाकुर राम बहुमुखी क्याम्पसमा अध्ययनरत बिबिएस दोस्रो वर्षको परीक्ष्Fाको क्रममा बुधवार बिहान बाहिरबाट लेखेर ल्याएको उत्तरपुस्तिका साट्ने क्रममा ठाराब क्याम्पस परीक्ष्Fा शाखाका पूर्वप्रमुख मोहन यादव र त्रिजुद्ध माविका परीक्ष्Fा प्रमुख वीरेन्द्र स्वर्णकारलाई पक्राउ गरिएको बताए ।. उनले परीक्ष्Fा सकिएपश्चात् उत्तरपुस्तिका दिने बेलामा परीक्ष्Fा केन्द्र प्रमुख स्वर्णकारलाई बाहिरबाट लेखेर ल्याएको उत्तरपुस्तिका दिने क्रममा यादवसहितलाई पक्राउ गरिएको प्रनि शिवाकोटीले बताए । ठाराब क्याम्पसको पूर्व परीक्ष्Fा शाखा प्रमुख यादव हाल हरि खेतान बहुमुखी क्याम्पसमा परीक्ष्Fा शाखा प्रमुखमा कार्यरत छन् । सूचनाको आधारमा दुवैजनालाई पक्राउ गरिएको हो ।. ठाराब क्याम्पसमा विद्यार्थीहरूले आर्थिक चलखेलमा उत्तरपुस्तिका साट्ने कार्य गर्दै आएको कुरा प्रहरीलाई प्राप्त भएपछि आज यससम्बन्धी निगरानी गर्दा यादव र स्वर्णकार रङ्गेहात पक्राउ परेको प्रनि शिवाकोटीले बताए । दुवैजनालाई कारबाईको लागि जिल्ला प्रहरी कार्यालय चलान गरिएको छ । उनीहरूमाथि शिक्षा ऐन २०२८ को दफा १७ अनुसार प्रश्नपत्रको गोपनीयता भङ्ग गरेमा वा अरूको परीक्ष्Fा दिएमा वा परीक्ष्Fाको मर्यादा भङ्ग गरेमा संलग्न कसूरवारलाई मात्रा हेरेर एक लाख जरिवाना, छ महीना कैद वा दुवै हुन सक्ने व्यवस्था छ । यही दफा अनुसार दुवैजनामाथि मुद्दा चलाउने तयारी प्रहरीले गरेको छ ।. पर्सा प्रहरीका प्रवक्ता दीपक गिरीले पक्राउ परेका दुवैजनामाथि थप अनुसन्धान भइरहेको बताए ।",https://eprateekdaily.com/2023/08/17/55353
सिसी क्यामरा निगरानी कक्ष उद्घाटन,स्थानीय,प्रतीक दैनिक,"साउन ३२, २०८०",परवानीपुर,"जिल्ला प्रहरी कार्यालय, पर्सामा सिसी क्यामरा निगरानी कक्ष्Fको आज उद्घाटन गरिएको हो । वीरगंज–पथलैया सडकखण्डमा सवारीसाधन आवतजावत गर्ने र सो क्रममा तीव्र गतिमा गुड्दा सवारी दुर्घटनाको जोखिम हुने र सो क्रममा सवारीसाधन लिएर चालकहरू फरार हुने, दुर्घटनामा मानिसहरू घाइते, मृत्यु हुनेजस्ता घटनाहरू भइरहेका र सोमा संलग्न व्यक्ति, सवारीसाधनलाई नियन्त्रणमा लिन सिसी क्यामरा प्रभावकारी हुने देखेर महानगरको रु २७ लाख आर्थिक सहयोगमा अटोमेटिक नम्बर रिकगनाइजेशन सिस्टम विथ रडार क्यामरा जडान गरिएको र यसले सवारी दुर्घटना निगरानीमा सहयोग पुग्ने विश्वास व्यक्त गरिएको छ ।. घटना भएपछि घटनाका कसूरवारहरूलाई नियन्त्रणमा लिन आगामी दिनमा सहज हुने प्रउ शाहले बताए ।",https://eprateekdaily.com/2023/08/17/55350
अन्तर्घात हुँदा गठबन्धन –सहमहामन्त्री यादव,स्थानीय,प्रतीक दैनिक,"भदौ १, २०८०",वीरगंज,"नेकाको १४औं महाधिवेशनपश्चात् नेका पर्सा क्षेत्र नं २ ले बिहीवार आयोजना गरेको प्रथम क्षेत्रीय सम्मेलनका प्रमुख अतिथि सहमहामन्त्री यादवले अन्तर्घात नहुने र पार्टीलाई बलियो पार्ने कुरामा कार्यकर्ताहरू दृढ भए आगामी दिनमा नेकाले गठबन्धन नगर्ने बताए । उनले पर्सा काङ्ग्रेसको लागि बलियो जिल्ला भएको बताए । उनले पर्सेली नेका कार्यकर्तासँग अन्तर्घात नगर्न, पार्टीलाई जिताउने प्रतिबद्धता, भरोसा दिलाउन आग्रह गरे । उनले काङ्ग्रेसमा सङ्कट रहेको र वर्तमान काङ्ग्रेस सहभागी माओवादी नेतृत्वको सरकार निरङ्कुशतातर्फ उन्मुख भएर कमजोर भइरहेको बताए । सहमहामन्त्री यादवले पूर्वगृहमन्त्री बालकृष्ण खाँडका कारण नागरिकता विधेयक जारी भएको र त्यसैको रिसमा उनीविरुद्ध षड्यन्त्र रचिएको आरोप लगाए । उनले खाँड जेलमा बस्नुको कारण वर्तमान गृहमन्त्री कारक भएको र उनकै ‘रोल प्ले’मा यो घटना भएको दोषारोपण लगाए । उनले वर्तमान सरकारमा नेका पनि रहेको तर सरकारको नेतृत्वमा रहेकाहरूले नेकाविरुद्ध षड्यन्त्र रचेका कारण यस प्रकारका कदम नरोकिए सरकारले नराम्रो परिणाम भोग्नुपर्ने चेतावनी दिए ।. नेकाका केन्द्रीय सदस्य एवं सांसद अजयकुमार चौरसियाले चुनावपछि पार्टीको कार्यक्रम नै नभएको र क्षेत्र नं २ ले अधिवेशन राखेर राम्रो काम गरेको बताए । उनले अब हुने चुनावमा नेकाले गठबन्धन नगर्ने बताए । उनले यसका लागि नेकालाई बलियो बनाउन आवश्यक हुने बताए । यसअघिका दुईवटा चुनाव २०७०–७४ मा अन्तर्घातका कारण नेकाले निकै सिट गुमाउन परेको बताए । उनले आगामी दिनमा कसैले अन्तर्घात नगर्ने हो भने नेकाले धेरै सिट जित्ने दाबी गरे । उनले पूर्वगृहमन्त्री खाँडलाई सरकारले फसाएको आरोप लगाए । न उजूरी छ, न उनको नाम कसैले बयानमा पोलेको छ, त्यत्तिकै जेलमा हालिएको छ । सरकारले बजेट विनियोजन गर्दा पनि मधेस प्रदेशमा अन्य प्रदेशको तुलनामा कम बजेट पठाएकोमा आलोचना गरे । हाल पिउने पानीको समस्या देखिएको र सोको निराकरणतर्फ सरकार गम्भीर नभएको उनले आरोप लगाए ।. प्रदेशसभा सदस्य एवं नेका, पर्साका सभापति जनार्दन सिंह क्षत्रीले पार्टी निर्णय अनुसार पर्सा जिल्लाका केही स्थानमा गठबन्धन र केहीमा गठबन्धन नरहेको बताए । उनले नेका, पर्साभित्र अन्तर्घातका कारण थुप्रैले हार बेहार्नुपरेको बताए ।. क्षेत्रीय सभापति महमद सहाबुद्दीनको अध्यक्षतामा भएको कार्यक्रममा मधेस प्रदेशका पूर्वमन्त्री ओमप्रकाश शर्मा, नेका, पर्साका उपसभापति रामनारायण कुर्मी, सचिव एवं उपप्रमुख इम्तियाज आलमलगायतले मन्तव्य व्यक्त गरेका थिए ।. प्रदेशसभा सदस्य श्याम पटेलले सबै कार्यकर्तालाई निर्धक्क आआफ्नो समस्या राख्न सुझाए । उनले समस्या नराख्दा कसलाई के समस्या परेको छ, पार्टीलाई कसरी अगाडी बढाउने भन्नेबारेमा अप्ठेरो पर्ने बताउँदै आआफ्नो समस्यालाई राख्न सुझाए ।",https://eprateekdaily.com/2023/08/18/55396
पारिश्रमिक वृद्धिको माग गर्दै युनियनद्वारा आन्दोलनको घोषणा,स्थानीय,प्रतीक दैनिक,"भदौ १, २०८०",वीरगंज,"अध्यक्ष हेमराज न्यौपाने र सचिव प्रेम चौधरीले जारी गरेको विज्ञप्ति अनुसार भदौ १ गते एक घण्टा धर्ना र नाराबाजी, ३ गते दुर्ई घण्टा धर्ना र नाराबाजी, ४ गते तीन घण्टा धर्ना र नाराबाजी, ५ गते चार घण्टा धर्ना र नाराबाजी, ६ गते साँझ ६ बजे मशाल जुलुस, ७ गते आधा घण्टा सम्पूर्ण उद्योग बन्द गर्ने जनाएको छ ।. नयाँ न्यूनतम पारिश्रमिक रु २५ हजार कायम गर्नुपर्ने माग गर्दै विभिन्न १२ वटा टे«ड युनियन सङ्घहरूले श्रम मन्त्रालयसमक्ष असार २६ गते ज्ञापनपत्र बुझाएको थियो । त्यस्तै, साउन १३ गते वीरगंजमा कोणसभा गरी भदौ १ गतेदेखि अनिश्चितकालीन अवज्ञा आन्दोलन गर्ने घोषणा गरेको थियो । उक्त घोषणा अनुसार नेपाल सरकारले साउन मसान्तसम्म श्रमिकको पारिश्रमिक वृद्धि गर्न गम्भीर नभएपछि बाध्य भएर आन्दोलनको कार्यक्रम सार्वजनिक गरेको विज्ञप्तिमा उल्लेख छ ।",https://eprateekdaily.com/2023/08/18/55394
मोटरसाइकल दुर्घटनामा बालकको मृत्यु,स्थानीय,प्रतीक दैनिक,"भदौ १, २०८०",पर्सागढी,"वीरगंज महानगरपालिका–१ छपकैया निवासी जयनाथ सिंहका १६ वर्षीय छोरा राहुल सिंह मामाघर पटेर्वासुगौली गापा– ५ निचुटा आएका थिए ।. आज बिहान उनले ना.१८प ४०२८ नम्बरको मोटरसाइकल चलाउने क्रममा अनियन्त्रित भई दुर्घटना हुँदा उनको घटनास्थलमैं मृत्यु भएको इलाका प्रहरी कार्यालय, पटेर्वासुगौलीका प्रहरी निरीक्षक रामराजा केशरीले बताए । सिंहको शव परीक्ष्Fणको लागि नारायणी अस्पताल, वीरगंजमा राखिएको प्रहरीले जनाएको छ ।",https://eprateekdaily.com/2023/08/18/55392
ट्राफिक सिग्नल जडान भएपछि सवारीजाम झनै बढ्यो,स्थानीय,प्रतीक दैनिक,"साउन ३०, २०८०",वीरगंज,"तत्कालीन नगरपञ्चायत हुँदा साढे तीन लाख रुपैयाँ लागतमा आदर्शनगर, माईस्थान र घण्टाघरमा ट्राफिक सिग्नल लाइट जडान भएको थियो । तर सो बखत भएका विभिन्न खाले आन्दोलनमा ती लाइड नष्ट भएका थिए ।. त्यसपछि अहिले महानगरपालिका भएपछि हालै ट्राफिक सिग्नल लाइट घण्टाघरमा जडान भएर सञ्चालनमा आएको छ । घण्टाघरमा मात्र जडित ट्राफिक सिग्नल लाइट अहिले प्रयोगविहीन सरह छ । घण्टाघरवरिपरि गरी सातवटा सिग्नल जडान भएका छन् ।. तर ती सिग्नल प्रयोग हुँदा एकपटकमा कम्तीमा अढाई मिनेट सवारी रोकिने भएकोले अहिले प्रयोगमा ल्याउँदा समस्या भएको हो । घण्टाघर सडकखण्ड सामान्यतया अन्य सडकखण्डभन्दा बढी सवारी चाप हुने स्थान हो । सो ठाउँमा ट्राफिक सिग्नलका कारण अढाई मिनेट सवारीसाधनहरू रोकिंदा अन्य समयको तुलनामा बढी भीडभाड हुने गरेको थियो । अढाई मिनेट सवारीसाधनहरू रोकिंदा भीड बढेपछि अहिले केही दिनदेखि सो सिग्नल सञ्चालनमा छैन ।. सिग्नल प्रयोग हुँदा सवारीजामको समस्या समाधान हुने आशा गरिएको थियो तर सोको विपरीत सवारीसाधन अझ बढी जाम हुन थालेपछि सिग्नलको प्रयोग बन्द गरिएको बुझिन आएको छ । अहिले सो सिग्नलमा हरबखत पहेंलो बत्ती मात्र बालिन्छ र सवारीसाधनहरू पूर्ववत्रूपमा सिग्नल नभएको अवस्थाझैं निर्बाध सञ्चालनमा हुन्छन् ।",https://eprateekdaily.com/2023/08/15/55245
फकिरा गिरी माविका विद्यार्थीहरूलाई पोशाक वितरण,स्थानीय,प्रतीक दैनिक,"साउन ३१, २०८०",पर्सागढी,"वडाध्यक्ष सुनीलकुमार गुप्ताको अध्यक्षता तथा जीतपुरसिमरा उपमहानगरपालिकाका प्रमुख राजन पौडेलको प्रमुख आतिथ्यमा कक्षा पिजीदेखि पाँचसम्म अध्ययनरत ३६७ जना छात्रछात्रालाई टाई, बेल्ट, मोजा र पोशाक वितरण गरिएको थियो ।. कार्यक्रममा नगरप्रमुख पौडेलले आफू निर्वाचित भएको बेला घोषणा गरे अनुसार उपमहानगरपालिका अन्तर्गतका सम्पूर्ण सामुदायिक विद्यालयमा प्रत्येक वर्ष पोशाक वितरण गर्ने लक्ष्य लिएको बताए । उनले आफू पनि सोही विद्यालयबाट अध्ययन गरेको र सो समयमा बारा जिल्लाका विभिन्न स्थानका साथै पर्साका पश्चिमी क्षेत्र ठोरीबाट अध्ययनका लागि विद्यालयमा आउने गरेको स्मरण गरे ।. उनले सोही समय विद्यालयमा दुई हजार पाँच सय विद्यार्थी अध्ययनरत रहेको बताए । आफू अध्ययनरत विद्यालयको आर्थिक अवस्था कमजोर रहेको र निम्न आयस्रोत भएका अभिभावकहरूका सन्तानहरू अध्ययन गर्ने हुँदा अहिलेका अभिभावकलाई आर्थिक व्ययभार कम होस् भनेर उपमहानगरले सहयोग गरेको बताए । उनले पोशाकका कारण पनि बालबालिका विद्यालय आउने वातावरण बन्ने दाबी गरे ।. उनले सामुदायिक विद्यालयमा अध्ययनरत उपमहानगरका १२ कक्षासम्म अध्ययनरत विद्यार्थीहरूले शुल्क तिर्नुनपर्ने बताए ।. वडाध्यक्ष सुनीलकुमार गुप्ताले जेहेन्दार विद्यार्थीहरूलाई उच्च शिक्षाका लागि वडा र व्यक्तिगतरूपमा पनि सहयोग गर्ने बताए । उनले विद्यालयमा पोशाक लगाएर आउँदा राम्रो वातावरण हुने बताउँदै सरसफाइ, खेलकूदमा पनि विद्यार्थीहरूलाई रुचि बढाउन सुझाए ।. कार्यक्रममा वडा सदस्य सीता उप्रेती, प्रअ राजु गिरी, विद्यालय व्यवस्थापन समितिका सदस्य आफताब आलम, अभिभावकलगायतको सहभागिता थियो । कार्यक्रमको सहजीकरण शिक्षक धनञ्जय गौतमले गरेका थिए ।",https://eprateekdaily.com/2023/08/16/55295
थरुहट क्षेत्रका किसानहरू धानबालीको गोडमेलमा व्यस्त,स्थानीय,प्रतीक दैनिक,"साउन ३१, २०८०",सेढवा,जगरनाथपुर गाउँपालिकाका महेन्द्र रामले पानी नपरेकोले निकै समस्या भोगेर रोपाइँ गरेको बताए । रोपाइँपछि बाली गोडमेलमा लागेको उनले बताए । गोडमेल नगरे बाली उत्पादनमा निकै कमी हुने रामको भनाइ छ ।. जीराभवानी गापा–३ का तुलसीदास थारूले अगहनी धानबालीलाई एकपटक गोडमेल गरिसकेको बताए । तर भदैया तथा सारो जातिको धानबालीलाई दोस्रोपटक गोडमेल गरी बेहनी लगाइरहेको उनले बताए । बेहनी नलगाए बालीको बीचबीचमा हावा प्रवेश गर्न नपाउँदा विभिन्न खाले रोगको सङ्क्रमण हुने र उत्पादनमा कमी आउने थारूले बताए ।. आजको वैज्ञानिक युगमा विभिन्न क्षेत्रमा भएका विकाससँगै कृषि क्षेत्रमा पनि आधुनिकीकरण आएको छ र कीटनाशक औषधिको प्रयोग बढेको छ । धानबालीमा उम्रेका विभिन्न किसिमका झारपात मार्न कीटनाशक औषधि बजारमा आएका छन् । तर ती औषधिको प्रयोग गर्दा बालीमा नराम्रो असर पर्न सक्ने आशङ्काले सोको प्रयोग न्यून मात्रामा केही मात्र किसानले गर्दै आएका छन् ।,https://eprateekdaily.com/2023/08/16/55301
क्रिकेटमा वीरगंजको नाम राख्नुपर्छ –उपप्रमुख आलम,स्थानीय,प्रतीक दैनिक,"साउन ३२, २०८०",वीरगंज,"बुधवार पर्सा क्रिकेट सङ्घको सातौं साधारणसभा तथा जिल्ला अधिवेशनको उद्घाटन गर्दै उनले क्रिकेट खेलाडीलाई सहयोग गर्न महानगर तयार रहेको बताए ।. कार्यक्रममा प्रस्तुत गरिएको प्रतिवेदनमा पर्सा जिल्ला क्रिकेट सङ्घले दुई वर्षजति कोभिडको कारण कुनै खेलकूद आयोजना नगरेको जनाएको छ । त्यसपछि क्रिकेट एशोसिएशन अफ नेपालद्वारा सञ्चालित कार्यक्रमहरू गरिएको बताए । शहरी भेगमा मात्र सीमित रहेको क्रिकेटलाई ग्रामीण भेगमा पु¥याउन, खेलाडीलाई प्रशिक्षण, नारायणी रङ्गशालास्थित क्रिकेट मैदानको स्तरोन्नतिलगायत गरिने प्रतिवेदनमा उल्लेख छ ।. क्रिकेट सङ्घका अध्यक्ष दाउद अन्सारीको अध्यक्षतामा भएको कार्यक्रममा माधव कर्माचार्य, नेपाली काङ्ग्रेसका नेता धर्मराज यादव, उपप्रमुखका स्वकीय सचिव शेख हजरालगायतको सहभागिता थियो । कार्यक्रमको सहजीकरण घनश्याम गुप्ताले गरेका थिए ।",https://eprateekdaily.com/2023/08/17/55340
मल चोरीको आरोपमा चारजना पक्राउ,स्थानीय,प्रतीक दैनिक,"साउन ३२, २०८०",रौतहट,"वृन्दावन नगरपालिका–६ बस्ने वर्ष २८ का हरिकान्त पासवान, गुजरा नपा–९ सिमराभवानीपुर बस्ने वर्ष ४२ का कृष्ण चौधरी, चन्द्रपुर–९ बस्ने लक्ष्मण चौधरी, चन्द्रपुर–१० बस्ने बालचनपुरका छोटेलाल बैठा र गुजरा नपा–२ का मुकेश महतो पक्राउ परेका र उनीहरूमाथि आपराधिक विश्वासघात र चोरी तथा डाँका मुद्दामा अदालतबाट म्याद थप गरी हिरासतमा राखेर अनुसन्धान भइरहेको जिल्ला प्रहरी कार्यालय, रौतहटका सूचना अधिकारी प्रनाउ उमाशङ्करप्रसाद यादवले बताए ।. अशोक विनायक ट्रान्सपोर्ट कम्पनीमार्फत ४२० बोरा युरिया मल कृषि सामग्री कम्पनी लिमिटेड, वीरगंजबाट शाखा कार्यालय चन्द्रपुर, रौतहटमा लैजाने क्रममा ना.६ख ९१९२ नम्बरका चालक हरिकान्त पासवान सम्पर्कविहीन भएका थिए । सो सम्बन्धमा इप्रका, चन्द्रपुरको टोलीले अनुसन्धान गर्दा गुजरा नपाको मैरा कटानी जङ्गलबाट ना.६ख ९१९२ नम्बरको ट्रक, १०२ बोरा मल, अन टेस्ट ट्याक्टर र ना.३त २१८० नम्बरको सोनालिका ट्याक्टरसहित चारजना पक्राउ परेका सूचना अधिकारी यादवले बताए ।",https://eprateekdaily.com/2023/08/17/55335
