Title,Category,Auther,Date,Location,Content,URL
काठसहित दुईजना पक्राउ,स्थानीय,प्रतीक दैनिक,"अशोज १७, २०७७",बिरुवागुठी,,https://eprateekdaily.com/2020/10/03/3506
शौचालयको साँचो हस्तान्तरण,स्थानीय,प्रतीक दैनिक,"अशोज १७, २०७७",वीरगंज,,https://eprateekdaily.com/2020/10/03/3503
थप ३७ जना सङ्क्रमित पुष्टि,स्थानीय,प्रतीक दैनिक,"अशोज १७, २०७७",वीरगंज,,https://eprateekdaily.com/2020/10/03/3509
पोखरियामा दुई दिने आँखा शिविर शुरू,स्थानीय,प्रतीक दैनिक,"अशोज १७, २०७७",पोखरिया,,https://eprateekdaily.com/2020/10/03/3519
मन्दिर र मस्जिदमा सफाइ,स्थानीय,प्रतीक दैनिक,"अशोज १७, २०७७",वीरगंज,,https://eprateekdaily.com/2020/10/03/3516
नदीजन्य पदार्थको अवैध उत्खनन तीव्र,स्थानीय,प्रतीक दैनिक,"अशोज १७, २०७७",पंचगावाँ,,https://eprateekdaily.com/2020/10/03/3528
कुटाकुटमा सातजना घाइते,स्थानीय,प्रतीक दैनिक,"अशोज १७, २०७७",वीरगंज,,https://eprateekdaily.com/2020/10/03/3513
पटेर्वासुगौलीको गाउँ परिषद् सम्पन्न,स्थानीय,प्रतीक दैनिक,"अशोज १७, २०७७",पंचगावाँ,,https://eprateekdaily.com/2020/10/03/3525
"वीरगंजबाट निषेधाज्ञा हट्यो, शनिवार पनि पसल खुल्ने",स्थानीय,प्रतीक दैनिक,"अशोज १७, २०७७",वीरगंज,,https://eprateekdaily.com/2020/10/03/3531
"टोलमा विद्यार्थीको भीड लगाएर पढाउने होइन, सहजीकरण मात्र गर्नू –प्रजिअ तामाङ",स्थानीय,प्रतीक दैनिक,"अशोज १७, २०७७",परवानीपुर,,https://eprateekdaily.com/2020/10/03/3534
बमकाण्डका अभियुक्त सहनी पक्राउ,स्थानीय,प्रतीक दैनिक,"अशोज १७, २०७७",सिम्रौनगढ,,https://eprateekdaily.com/2020/10/03/3522
दक्ष जनशक्ति निर्माण अहिलेको कार्यभार,स्थानीय,प्रतीक दैनिक,"अशोज १७, २०७७",१७ असोज/रासस    शिक्षा,,https://eprateekdaily.com/2020/10/03/3511
आत्महत्या,स्थानीय,प्रतीक दैनिक,"अशोज १६, २०७७",रौतहट,,https://eprateekdaily.com/2020/10/02/3466
वन क्षेत्रमा प्रवेश निषेध,स्थानीय,प्रतीक दैनिक,"अशोज १६, २०७७",रौतहट,,https://eprateekdaily.com/2020/10/02/3461
१५ लाखसहित एकजना पक्राउ,स्थानीय,प्रतीक दैनिक,"अशोज १६, २०७७",रौतहट,,https://eprateekdaily.com/2020/10/02/3459
अदालतको गेटमा धर्ना,स्थानीय,प्रतीक दैनिक,"अशोज १६, २०७७",रौतहट,,https://eprateekdaily.com/2020/10/02/3456
आँखा शिविरमा १२५ जनाको परीक्षण,स्थानीय,प्रतीक दैनिक,"अशोज १६, २०७७",परवानीपुर,,https://eprateekdaily.com/2020/10/02/3468
अभूतपर्व समस्या र अभिनव समाधान,स्थानीय,प्रतीक दैनिक,"अशोज १७, २०७७",त्यसैत्यसै मानवताका सम्मुख नयाँ–नयाँ चुनौती देखा पर्न थालेका छन्। आफ्नो जीवनको व्यस्ततम दौडधूपले गर्दा हामीलाई यी परिवर्तनहरूको अनुभूति भइरहेको छैन,,https://eprateekdaily.com/2020/10/03/3487
